"","names","mean","sd","isotype","isotype_mean","isotype_sd","X2.sample.z.score"
"CD49a-TotalA","CD49a-TotalA",0.199246352,0.410993829,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,7.404064315
"CD49d-TotalA","CD49d-TotalA",1.353902615,0.816225711,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,26.3370253
"CD73-TotalA","CD73-TotalA",0.186521467,0.282371706,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,9.968736922
"CD9-TotalA","CD9-TotalA",0.311949758,0.391095828,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,12.34197249
"TCRVa7.2-TotalA","TCRVa7.2-TotalA",0.032339615,0.132695484,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,2.783009273
"CD305-TotalA","CD305-TotalA",0.262221039,0.365588351,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,11.03219276
"LOX-1-TotalA","LOX-1-TotalA",0.084627549,0.18270038,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,5.728382995
"CD158e1-TotalA","CD158e1-TotalA",0.041482412,0.12072096,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,4.122620036
"CD109-TotalA","CD109-TotalA",0.034262504,0.122573085,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.20703047
"CD142-TotalA","CD142-TotalA",0.038482215,0.120641377,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.761317376
"CD319-TotalA","CD319-TotalA",0.106044646,0.200067597,"Mouse-IgG2b-isotype-TotalA",0.010193744,0.06131551,7.329011381
"CD99-TotalA","CD99-TotalA",1.888285259,0.442102718,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,66.89228196
"CD151-TotalA","CD151-TotalA",0.198046495,0.288114944,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,10.40595515
"CD352-TotalA","CD352-TotalA",1.429365857,0.526643966,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,42.9770877
"CD94-TotalA","CD94-TotalA",0.034021352,0.114569304,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.361375462
"IgE-TotalA","IgE-TotalA",0.133982979,0.22403134,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,8.788769359
"CD150-TotalA","CD150-TotalA",1.153915565,0.491316752,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,37.11488393
"CD162-TotalA","CD162-TotalA",1.722482203,0.636433274,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,42.96387831
"CD84-TotalA","CD84-TotalA",0.338462724,0.343298487,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,14.77917317
"Iglightchaink-TotalA","Iglightchaink-TotalA",0.050425338,0.136614264,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,4.685578368
"CD85j-TotalA","CD85j-TotalA",0.0491322,0.137041281,"Mouse-IgG2b-isotype-TotalA",0.010193744,0.06131551,4.14975698
"CD23-TotalA","CD23-TotalA",0.304972247,0.323302194,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,14.52584826
"Iglightchainl-TotalA","Iglightchainl-TotalA",0.052848699,0.142532937,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,3.865745879
"GPR56-TotalA","GPR56-TotalA",0.122098313,0.329279953,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,5.498657569
"CD82-TotalA","CD82-TotalA",1.011563534,0.4607099,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,34.6380412
"NKp80-TotalA","NKp80-TotalA",0.043832867,0.13202503,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,4.085539352
"CD74-TotalA","CD74-TotalA",0.361192235,0.344857607,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,16.21743719
"CD116-TotalA","CD116-TotalA",0.021803639,0.095068306,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,2.104751979
"CD37-TotalA","CD37-TotalA",0.119059403,0.201889886,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,8.548981626
"CD101-TotalA","CD101-TotalA",0.539916811,0.625804917,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,13.56402523
"HLA-DR-DP-DQ-TotalA","HLA-DR-DP-DQ-TotalA",0.921743136,0.851950825,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,16.9831033
"CD88-TotalA","CD88-TotalA",0.110920609,0.200047828,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,7.26563279
"CD197-TotalA","CD197-TotalA",1.306148483,0.460472016,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,44.32401761
