,names,mean,sd,isotype,isotype_mean,isotype_sd,X2.sample.z.score
CD26-TotalA,CD26-TotalA,2.021314066,0.436614627,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,104.2372664
CD115-TotalA,CD115-TotalA,0.02473978,0.096603177,RatIgG1-TotalA,0,0,5.851128995
CD63-TotalA,CD63-TotalA,0.138769065,0.239981463,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,12.14681843
CD304-TotalA,CD304-TotalA,0.020251353,0.087866654,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,2.250317537
CD36-TotalA,CD36-TotalA,0.014988847,0.074491312,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,1.253602342
CD172a-TotalA,CD172a-TotalA,0.006399562,0.051756979,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,-0.935617677
CD72-TotalA,CD72-TotalA,0.006488893,0.052584739,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,-1.608373514
CD158-TotalA,CD158-TotalA,0.02435114,0.095318374,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,2.273920837
CD93-TotalA,CD93-TotalA,0.063828687,0.149908428,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,8.006093307
CD200-TotalA,CD200-TotalA,0.296741474,0.36896797,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,17.69175344
CD49a-TotalA,CD49a-TotalA,0.192421634,0.371631627,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,11.22290786
CD49d-TotalA,CD49d-TotalA,1.316845329,0.780790375,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,38.2081353
CD73-TotalA,CD73-TotalA,0.177295227,0.267132908,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,14.19259567
CD9-TotalA,CD9-TotalA,0.274422638,0.363425582,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,16.5681895
TCRVa7.2-TotalA,TCRVa7.2-TotalA,0.0394124,0.15964051,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,4.266055383
TCRVd2-TotalA,TCRVd2-TotalA,0.013917455,0.070651005,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,1.53851091
CD354-TotalA,CD354-TotalA,0.015541238,0.09152188,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,1.637362534
CD305-TotalA,CD305-TotalA,0.249673819,0.352961802,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,15.46493962
LOX-1-TotalA,LOX-1-TotalA,0.084916785,0.184150347,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,8.853227077
CD158e1-TotalA,CD158e1-TotalA,0.034459762,0.112693165,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,4.842932371
CD109-TotalA,CD109-TotalA,0.03055797,0.112330102,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,4.142382875
CD142-TotalA,CD142-TotalA,0.040017348,0.124070491,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,5.410494857
CD319-TotalA,CD319-TotalA,0.15402114,0.365177611,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,8.691441183
CD99-TotalA,CD99-TotalA,1.867380624,0.437785792,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,96.0082919
CLEC12A-TotalA,CLEC12A-TotalA,0.007077395,0.051597523,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,-0.743829296
CD151-TotalA,CD151-TotalA,0.202015503,0.294700798,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,14.79572822
CD352-TotalA,CD352-TotalA,1.399332066,0.510801694,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,61.88127322
CLEC1B-TotalA,CLEC1B-TotalA,0.004618023,0.04580638,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,-1.048181428
CD94-TotalA,CD94-TotalA,0.032083802,0.112088306,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,4.428982453
IgE-TotalA,IgE-TotalA,0.14307254,0.227350291,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,13.20593581
CD150-TotalA,CD150-TotalA,1.142786197,0.476270591,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,54.0850404
CD162-TotalA,CD162-TotalA,1.667968649,0.625003229,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,60.45271596
CD84-TotalA,CD84-TotalA,0.346176107,0.347897677,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,21.76092107
Iglightchaink-TotalA,Iglightchaink-TotalA,0.049749489,0.137657339,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,6.453621521
CD85j-TotalA,CD85j-TotalA,0.049094508,0.140860776,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,5.307610298
CD23-TotalA,CD23-TotalA,0.288050883,0.322927432,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,19.54155597
Iglightchainl-TotalA,Iglightchainl-TotalA,0.044707098,0.13761108,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,5.308430497
CD328-TotalA,CD328-TotalA,0.014301382,0.074812582,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,1.577965003
GPR56-TotalA,GPR56-TotalA,0.133137333,0.388483566,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,7.293395649
CD82-TotalA,CD82-TotalA,0.986094907,0.44281188,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,50.08874378
NKp80-TotalA,NKp80-TotalA,0.04271787,0.129531654,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,5.656338389
CD131-TotalA,CD131-TotalA,0.018662118,0.086336073,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,2.405229452
CD74-TotalA,CD74-TotalA,0.346227143,0.334260462,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,22.82068205
CD116-TotalA,CD116-TotalA,0.020901653,0.095395239,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,2.700751416
CD37-TotalA,CD37-TotalA,0.119993476,0.208857971,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,11.86077183
CD101-TotalA,CD101-TotalA,0.503568921,0.623986526,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,18.07947548
HLA-DR-DP-DQ-TotalA,HLA-DR-DP-DQ-TotalA,0.862987477,0.833461891,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,23.32772311
CD88-TotalA,CD88-TotalA,0.102366735,0.195518163,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,10.33133648
CD30-TotalA,CD30-TotalA,0.038419212,0.130835361,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,4.54081968
CD197-TotalA,CD197-TotalA,1.332792848,0.451731,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,66.30801296
