"","names","mean","sd","isotype","isotype_mean","isotype_sd","X2.sample.z.score"
"CD18-TotalA","CD18-TotalA",0.729429295,0.46189271,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,23.59539776
"TCRab-TotalA","TCRab-TotalA",0.559168562,0.349521237,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,23.66248229
"CD27-TotalA","CD27-TotalA",0.969306953,0.605376586,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,24.0842219
"CD279-TotalA","CD279-TotalA",0.765393398,0.45377278,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,25.20996943
"CD49d-TotalA","CD49d-TotalA",1.283156684,0.755912786,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,25.63932666
"CD55-TotalA","CD55-TotalA",1.027405326,0.596051136,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,25.9377684
"CD58-TotalA","CD58-TotalA",1.097352318,0.510621908,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,32.29979842
"CD82-TotalA","CD82-TotalA",0.950172377,0.418491949,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,33.96684026
"CD29-TotalA","CD29-TotalA",1.610161138,0.701334055,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,34.71233406
"CD28-TotalA","CD28-TotalA",0.972554435,0.41055011,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,35.43396265
"CD127-TotalA","CD127-TotalA",0.990805566,0.415501914,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,35.6839414
"CD150-TotalA","CD150-TotalA",1.117794701,0.449633345,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,37.29757005
"CD43-TotalA","CD43-TotalA",1.065279456,0.419002353,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,38.07778248
"CD95-TotalA","CD95-TotalA",1.175776639,0.459301544,"Rat-IgG2b-isotype-TotalA",0.007268923,0.055728211,38.55122575
"CD162-TotalA","CD162-TotalA",1.625107919,0.610993872,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,40.17108376
"CD352-TotalA","CD352-TotalA",1.352897356,0.506386434,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,40.21641724
"CD81-TotalA","CD81-TotalA",1.736993072,0.62638437,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,41.90729056
"CD197-TotalA","CD197-TotalA",1.32581402,0.446693571,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,44.82689232
"HLA-A-B-C-TotalA","HLA-A-B-C-TotalA",1.89587268,0.62744444,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,45.83236811
"CD44-TotalA","CD44-TotalA",1.586031113,0.514661886,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,46.44691118
"CD3-TotalA","CD3-TotalA",1.962543624,0.595922508,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,49.77737805
"CD5-TotalA","CD5-TotalA",2.216219432,0.66205054,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,50.67286938
"CD4-TotalA","CD4-TotalA",2.066243465,0.533530318,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,58.47875742
"CD2-TotalA","CD2-TotalA",2.135974824,0.515000049,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,62.60856778
"CD48-TotalA","CD48-TotalA",2.219715516,0.532727736,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,62.93590585
"CD47-TotalA","CD47-TotalA",2.195575158,0.519394766,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,63.82588382
"CD99-TotalA","CD99-TotalA",1.848480404,0.432605559,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,64.59650501
"CD11a-TotalA","CD11a-TotalA",2.407418462,0.535498289,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,67.93184592
"CD26-TotalA","CD26-TotalA",1.982683706,0.4395977,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,68.21343774
"CD45-TotalA","CD45-TotalA",2.570299331,0.516545055,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,75.17365393
"CD45RO-TotalA","CD45RO-TotalA",1.996313478,0.389942309,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,77.30460959
